Doc,Sum,Subject,Stems
cr1732,"After robust growth through Q1 2016, the expansion has slowed. Growth is projected at 2.7 percent in 2016 and 2.9 percent in 2017 with considerable downward risks. Domestic consumption is the main growth driver, supported by a large increase in public expenditure and a hike in the minimum wage. However, political uncertainty, weakened corporate profitability, anemic credit growth, and a sharp fall in tourism have taken a toll on investment and net exports. The monetary stance and macro prudential measures were loosened, but credit growth continues to slow. A negative output gap is opening, but sticky expectations are keeping inflation above target. External imbalances persist: the current account deficit remains large and the NIIP is projected to become more negative. External financing conditions were favorable in the first semester, helping the rollover of large financing needs and supporting the Lira. However, political uncertainty after the failed coup attempt and a less favorable external environment are weakening the Lira and increasing the cost of external financing.","['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Monetary policy', 'Political economy', 'Press releases', 'Reserves accumulation', 'Staff Reports', 'Turkey']","['gap', 'imbal', 'remain', 'stanc', 'slow', 'measur', 'weaken', 'sharp', 'loosen', 'growth', 'howev', 'increas', 'wage', 'inflat', 'downward', 'niip', 'expect', 'persist', 'expenditur', 'project', 'current', 'output', 'risk', 'invest', 'polit', 'financ', 'prudenti', 'need', 'keep', 'public', 'larg', 'taken', 'macro', 'help', 'profit', 'rollov', 'expans', 'toll', 'first', 'main', 'attempt', 'favor', 'driver', 'negat', 'less', 'becom', 'coup', 'percent', 'condit', 'continu', 'anem', 'cost', 'sticki', 'export', 'domest', 'deficit', 'extern', 'credit', 'lira', 'support', 'corpor', 'consumpt', 'account', 'environ', 'uncertainti', 'consider', 'open', 'semest', 'tourism', 'target', 'monetari', 'robust', 'q1', 'fall', 'abov', 'minimum', 'fail', 'net', 'hike']"
cr1736,"Macroeconomic conditions have improved since 2012 despite sluggish growth. In 2016, growth slowed due to a sharp contraction in agricultural output and subdued non-agricultural activity; the fiscal deficit is estimated to have declined to 
3.5 percent of GDP; the current account deficit widened slightly to 2.9 percent of GDP; and international reserves strengthened to about seven months of imports. Reforms are advancing, including of the public pension system and the transition to a new exchange rate and monetary regime. Banks are adequately capitalized, but non-performing loans (NPLs) are increasing and credit concentration risks need to be reduced.","['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Current account deficits', 'Debt sustainability analysis', 'Economic indicators', 'Fiscal consolidation', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Morocco', 'Press releases', 'Public debt', 'Staff Reports']","['slow', 'sharp', 'growth', 'gdp', 'pension', 'increas', 'despit', 'capit', 'activ', 'regim', 'includ', 'current', 'output', 'concentr', 'risk', 'adequ', 'new', 'loan', 'macroeconom', 'need', 'public', 'improv', 'non-perform', 'due', 'intern', 'month', 'system', 'transit', 'reserv', 'advanc', 'rate', 'slight', 'seven', 'condit', 'sluggish', 'percent', 'deficit', 'reduc', 'credit', 'account', 'contract', 'subdu', 'declin', 'strengthen', 'reform', 'estim', 'monetari', 'exchang', 'npls', 'agricultur', 'widen', 'fiscal', 'bank', 'sinc', 'import', 'non-agricultur']"
cr1737,"The Indonesian economy continues to perform well, supported by robust growth and greater macroeconomic stability. A prudent mix of macroeconomic policies and structural reforms has helped the economy weather the commodity down-cycle and several episodes of emerging market (EM) financial turbulence. Securing and boosting growth in a more uncertain external environment requires maintaining policy buffers, while upgrading the medium-term framework through fiscal and structural reforms.","['Article IV consultation reports', 'Corporate sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Indonesia', 'Monetary policy', 'Press releases', 'Private investment', 'Staff Reports', 'Tax reforms']","['weather', 'framework', 'emerg', 'medium-term', 'requir', 'growth', 'prudent', 'buffer', 'macroeconom', 'maintain', 'help', 'polici', 'structur', 'down-cycl', 'indonesian', 'commod', 'perform', 'market', 'boost', 'episod', 'continu', 'uncertain', 'extern', 'mix', 'sever', 'em', 'support', 'environ', 'reform', 'turbul', 'well', 'robust', 'secur', 'greater', 'stabil', 'fiscal', 'financi', 'upgrad', 'economi']"
cr1726,"Austria is prosperous and stable. Nevertheless, it can still improve its economic performance to ensure a continuing rise in incomes and employment within a stable macroeconomic environment. To this end, a comprehensive package of structural and fiscal reforms can raise low GDP growth and ensure the steady decline of public debt. Financial system stability needs to be maintained in a challenging environment.","['Article IV consultation reports', 'Austria', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial stability', 'Fiscal policy', 'Fiscal reforms', 'Press releases', 'Staff Reports']","['still', 'comprehens', 'gdp', 'growth', 'nevertheless', 'econom', 'rise', 'need', 'macroeconom', 'maintain', 'within', 'public', 'improv', 'employ', 'structur', 'system', 'stabl', 'perform', 'low', 'continu', 'austria', 'incom', 'prosper', 'rais', 'ensur', 'steadi', 'environ', 'end', 'debt', 'reform', 'declin', 'stabil', 'fiscal', 'financi', 'packag', 'challeng']"
cr1730,MyanmarÛªs historic general elections in late 2015 resulted in a wave of optimism. Foreign investor interest is strong and development partners are scaling up their engagement. The new government was formed in April and is articulating its economic plans as an integral part of political and economic transition.,"['Article IV consultation reports', 'Balance of payments statistics', 'Budget deficits', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Myanmar', 'Press releases', 'Staff Reports']","['form', 'engag', 'late', 'articul', 'econom', 'develop', 'wave', 'strong', 'new', 'polit', 'integr', 'optim', 'transit', 'plan', 'foreign', 'scale', 'part', 'interest', 'elect', 'histor', 'govern', 'result', 'april', 'general', 'partner', 'investor', 'myanmar\x89ûª']"
cr1728,"Prudent macroeconomic policies, strong institutions, and a commitment to diversify its markets and products have allowed Uruguay to show resilience in the face of sharp recessions in its large neighbors. Nevertheless, economic growth slowed down in 2015 and 2016 while inflation remains above target. In 2017, an improving regional environment is expected to contribute to a modest further recovery, while inflation should slowly converge towards the target range. Given rising debt and high inflation, the room for more expansionary fiscal or monetary policy is limited.","['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Infrastructure', 'Monetary policy', 'Press releases', 'Public investment', 'Staff Reports', 'Uruguay']","['allow', 'room', 'remain', 'slow', 'sharp', 'growth', 'face', 'inflat', 'diversifi', 'recess', 'nevertheless', 'expansionari', 'expect', 'prudent', 'resili', 'econom', 'given', 'strong', 'rise', 'limit', 'macroeconom', 'show', 'larg', 'improv', 'toward', 'institut', 'polici', 'product', 'converg', 'market', 'recoveri', 'region', 'rang', 'neighbor', 'contribut', 'environ', 'debt', 'high', 'target', 'monetari', 'commit', 'uruguay', 'modest', 'abov', 'slowli', 'fiscal']"
cr1722,"Papua New Guinea (PNG) is a resource-rich economy, but low commodity prices and a major drought have weighed on economic growth and created fiscal challenges. Inflation has increased somewhat, partly reflecting the gradual exchange rate depreciation. Foreign exchange (FX) is in short supply, although inflows have recently picked up somewhat and the gross foreign reserve position is expected to remain broadly stable. Non-resource sector growth remains modest, underscoring the need for structural reform. In the lead-up to mid-2017 elections, the political situation has been more fluid than usual.","['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Government expenditures', 'Monetary policy', 'Papua New Guinea', 'Press releases', 'Staff Reports']","['lead-up', 'remain', 'usual', 'growth', 'major', 'increas', 'inflat', 'reflect', 'gradual', 'fx', 'inflow', 'expect', 'broad', 'fluid', 'econom', 'resource-rich', 'depreci', 'new', 'need', 'polit', 'png', 'sector', 'structur', 'stabl', 'commod', 'guinea', 'suppli', 'although', 'rate', 'reserv', 'posit', 'underscor', 'foreign', 'low', 'situat', 'non-resourc', 'part', 'recent', 'gross', 'pick', 'papua', 'drought', 'elect', 'short', 'price', 'creat', 'reform', 'exchang', 'modest', 'mid-2017', 'weigh', 'fiscal', 'challeng', 'somewhat', 'economi']"
cr1723,"The recovery is strong and imbalances are falling fast, aided by past reforms. External tailwinds and expansionary fiscal policy also buoyed activity and job creation. The economy is now more resilient but adjustments are incomplete and structural weaknesses persist. In particular, high unemployment, elevated public debt and shortcomings in the regional fiscal framework, feeble productivity growth, and the still large negative net international investment position pose policy challenges.","['Article IV consultation reports', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Labor market reforms', 'Labor markets', 'Press releases', 'Spain', 'Staff Reports', 'Unemployment']","['still', 'imbal', 'weak', 'framework', 'growth', 'expansionari', 'activ', 'persist', 'creation', 'resili', 'invest', 'strong', 'fast', 'pose', 'public', 'larg', 'elev', 'shortcom', 'intern', 'polici', 'structur', 'product', 'buoy', 'particular', 'recoveri', 'posit', 'negat', 'feebl', 'region', 'also', 'past', 'aid', 'extern', 'job', 'tailwind', 'debt', 'high', 'reform', 'incomplet', 'unemploy', 'fiscal', 'adjust', 'net', 'fall', 'challeng', 'economi']"
cr1719,"Following an extended impasse, Lebanon has a new president and a new prime minister, paving the way for a number of political changes. When formed, the new government will face a challenging policy environment. The Syrian crisis continues to dominate LebanonÛªs economic outlook, and the associated influx of refugees (about a quarter of the population) has few, if any, international parallels. GDP growth is still subdued and LebanonÛªs debt burden is rising, despite modest primary surpluses. Moreover, the economy remains vulnerable to shifts in deposit inflows, which have slowed notably since last yearÛªs Article IV consultation. Most recently, the Banque du Liban (BdL) engaged in a sizable financial operation that has (among other objectives) helped restore international reserves.","['Article IV consultation reports', 'Balance of payments statistics', 'Current account deficits', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal risk', 'Lebanon', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']","['still', 'number', 'remain', 'syrian', 'lebanon', 'form', 'refuge', 'slow', 'last', 'prime', 'face', 'gdp', 'growth', 'inflow', 'despit', 'consult', 'associ', 'ani', 'crisi', 'burden', 'engag', 'pave', 'primari', 'econom', 'year\x89ûª', 'among', 'polit', 'new', 'rise', 'du', 'domin', 'liban', 'outlook', 'intern', 'notabl', 'help', 'polici', 'impass', 'vulner', 'reserv', 'restor', 'surplus', 'extend', 'continu', 'bdl', 'recent', 'quarter', 'shift', 'oper', 'moreov', 'influx', 'popul', 'deposit', 'subdu', 'lebanon\x89ûª', 'environ', 'articl', 'debt', 'presid', 'way', 'chang', 'govern', 'sizabl', 'object', 'modest', 'iv', 'parallel', 'banqu', 'follow', 'financi', 'sinc', 'challeng', 'minist', 'economi']"
cr1715,"With large financial buffers, low debt, and a well-capitalized financial sector, the country is well positioned to face ÛÏlower-for-longerÛ oil prices. Nonetheless, fiscal and external balances have weakened and nonoil growth has softened somewhat. The main policy priorities are to sustain reforms to gradually raise fiscal savings, reduce susceptibility to oil price cycles, and boost private sector growth and job creation.","['Article IV consultations', 'Banking sector', 'Currency pegs', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal reforms', 'Kuwait', 'Labor market reforms', 'Nonoil sector', 'Oil prices', 'Press releases', 'Private sector', 'Staff Reports']","['sustain', 'well-capit', 'weaken', 'face', 'growth', 'gradual', 'privat', 'balanc', 'creation', 'buffer', 'larg', 'sector', 'polici', 'main', 'posit', 'boost', 'low', 'nonetheless', 'reduc', 'countri', 'extern', 'rais', 'save', '\x89ûïlower-for-longer\x89û\x9d', 'job', 'oil', 'cycl', 'debt', 'suscept', 'price', 'reform', 'well', 'soften', 'prioriti', 'fiscal', 'financi', 'somewhat', 'nonoil']"
cr1709,"Effectively addressing low productivity growth and risks to competitiveness requires a three-pronged approach: (i) making growth promotion more effective through oversight of programs by a dedicated productivity unit in the Prime Ministry, better calibrating programs to companyÛªs needs, incentivizing take-up, and scaling-up selected programs; (ii) re-anchoring wage developments in fundamentals by moderating government and minimum wage policies and mobilizing additional labor resources for the private sector, including through faster reduction of government employment; and (iii) social security contribution cuts to provide relief from pressures on profitability.","['Article IV consultation reports', 'Balance of payments statistics', 'Banks', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Estonia', 'Financial sector', 'Fiscal policy', 'Global competitiveness', 'Press releases', 'Social indicators', 'Staff Reports', 'Wage increases']","['dedic', 'unit', 'approach', 'requir', 'prime', 'growth', 'make', 'moder', 'wage', 'privat', 'provid', 'includ', 'cut', 'develop', 'risk', 'iii', 'need', 'competit', 'sector', 'employ', 'pressur', 'polici', 'profit', 'product', 'company\x89ûª', 'reduct', 'calibr', 'low', 'scaling-up', 'ministri', 'resourc', 'ii', 'better', 'relief', 'fundament', 'faster', 'contribut', 'oversight', 'social', 'effect', 'labor', 'govern', 'take-up', 'select', 'incentiv', 'three-prong', 'secur', 're-anchor', 'minimum', 'mobil', 'program', 'promot', 'addit', 'address']"
cr1711,The vibrant Hong Kong SAR economy has been supported by low interest rates and mainland ChinaÛªs economic development over the past decade. But the external outlook is now more challenging. Long-term issues such as aging and a housing supply shortage also loom. Strong policy frameworks and ample buffers are in place to weather a less favorable environment. Prudent fiscal policy and intensive supervision of the financial system have built buffers that can be drawn on when needed.,"['Article IV consultation reports', 'Balance of payments statistics', 'China', 'Debt sustainability analysis', 'Economic indicators', 'External Sector Report', 'Financial sector', 'Fiscal policy', 'Hong Kong SAR', 'Housing', 'Housing prices', 'Press releases', 'Staff Reports']","['weather', 'intens', 'supervis', 'framework', 'ampl', 'built', 'prudent', 'econom', 'develop', 'drawn', 'economi', 'strong', 'need', 'buffer', 'long-term', 'decad', 'outlook', 'polici', 'hous', 'kong', 'age', 'system', 'suppli', 'rate', 'shortag', 'vibrant', 'favor', 'low', 'less', 'also', 'hong', 'past', 'extern', 'support', 'interest', 'environ', 'mainland', 'place', 'fiscal', 'financi', 'loom', 'china\x89ûª', 'challeng', 'sar', 'issu']"
