Filename,QueryPage,PDFLink,Description,PublicationDate,PageLink,Author,Series,Subject,PDFSize
cr1732,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1732.ashx,"After robust growth through Q1 2016, the expansion has slowed. Growth is projected at 2.7 percent in 2016 and 2.9 percent in 2017 with considerable downward risks. Domestic consumption is the main growth driver, supported by a large increase in public expenditure and a hike in the minimum wage. However, political uncertainty, weakened corporate profitability, anemic credit growth, and a sharp fall in tourism have taken a toll on investment and net exports. The monetary stance and macro prudential measures were loosened, but credit growth continues to slow. A negative output gap is opening, but sticky expectations are keeping inflation above target. External imbalances persist: the current account deficit remains large and the NIIP is projected to become more negative. External financing conditions were favorable in the first semester, helping the rollover of large financing needs and supporting the Lira. However, political uncertainty after the failed coup attempt and a less favorable external environment are weakening the Lira and increasing the cost of external financing.","February 3, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Turkey-2017-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44614,International Monetary Fund. European Dept.,Country Report No. 17/32,"['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Fiscal risk', 'Monetary policy', 'Political economy', 'Press releases', 'Reserves accumulation', 'Staff Reports', 'Turkey']",2565 KB
cr1736,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1736.ashx,"Macroeconomic conditions have improved since 2012 despite sluggish growth. In 2016, growth slowed due to a sharp contraction in agricultural output and subdued non-agricultural activity; the fiscal deficit is estimated to have declined to 
3.5 percent of GDP; the current account deficit widened slightly to 2.9 percent of GDP; and international reserves strengthened to about seven months of imports. Reforms are advancing, including of the public pension system and the transition to a new exchange rate and monetary regime. Banks are adequately capitalized, but non-performing loans (NPLs) are increasing and credit concentration risks need to be reduced.","February 3, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Morocco-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44620,International Monetary Fund. Middle East and Central Asia Dept.,Country Report No. 17/36,"['Article IV consultation reports', 'Balance of payments statistics', 'Bank supervision', 'Current account deficits', 'Debt sustainability analysis', 'Economic indicators', 'Fiscal consolidation', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Morocco', 'Press releases', 'Public debt', 'Staff Reports']",2165 KB
cr1737,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1737.ashx,"The Indonesian economy continues to perform well, supported by robust growth and greater macroeconomic stability. A prudent mix of macroeconomic policies and structural reforms has helped the economy weather the commodity down-cycle and several episodes of emerging market (EM) financial turbulence. Securing and boosting growth in a more uncertain external environment requires maintaining policy buffers, while upgrading the medium-term framework through fiscal and structural reforms.","February 3, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/03/Indonesia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44621,International Monetary Fund. Asia and Pacific Dept,Country Report No. 17/37,"['Article IV consultation reports', 'Corporate sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Indonesia', 'Monetary policy', 'Press releases', 'Private investment', 'Staff Reports', 'Tax reforms']",6050 KB
cr1726,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1726.ashx,"Austria is prosperous and stable. Nevertheless, it can still improve its economic performance to ensure a continuing rise in incomes and employment within a stable macroeconomic environment. To this end, a comprehensive package of structural and fiscal reforms can raise low GDP growth and ensure the steady decline of public debt. Financial system stability needs to be maintained in a challenging environment.","February 2, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/02/Austria-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-for-Austria-44608,International Monetary Fund. European Dept.,Country Report No. 17/26,"['Article IV consultation reports', 'Austria', 'Balance of payments statistics', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial stability', 'Fiscal policy', 'Fiscal reforms', 'Press releases', 'Staff Reports']",1543 KB
cr1730,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1730.ashx,Myanmar’s historic general elections in late 2015 resulted in a wave of optimism. Foreign investor interest is strong and development partners are scaling up their engagement. The new government was formed in April and is articulating its economic plans as an integral part of political and economic transition.,"February 2, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/02/Myanmar-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44612,International Monetary Fund. Asia and Pacific Dept,Country Report No. 17/30,"['Article IV consultation reports', 'Balance of payments statistics', 'Budget deficits', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial sector', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Monetary policy', 'Myanmar', 'Press releases', 'Staff Reports']",2117 KB
cr1728,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1728.ashx,"Prudent macroeconomic policies, strong institutions, and a commitment to diversify its markets and products have allowed Uruguay to show resilience in the face of sharp recessions in its large neighbors. Nevertheless, economic growth slowed down in 2015 and 2016 while inflation remains above target. In 2017, an improving regional environment is expected to contribute to a modest further recovery, while inflation should slowly converge towards the target range. Given rising debt and high inflation, the room for more expansionary fiscal or monetary policy is limited.","February 1, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/02/01/Uruguay-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44610,International Monetary Fund. Western Hemisphere Dept.,Country Report No. 17/28,"['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'Fiscal consolidation', 'Fiscal policy', 'Inflation targeting', 'Infrastructure', 'Monetary policy', 'Press releases', 'Public investment', 'Staff Reports', 'Uruguay']",1650 KB
cr1722,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1722.ashx,"Papua New Guinea (PNG) is a resource-rich economy, but low commodity prices and a major drought have weighed on economic growth and created fiscal challenges. Inflation has increased somewhat, partly reflecting the gradual exchange rate depreciation. Foreign exchange (FX) is in short supply, although inflows have recently picked up somewhat and the gross foreign reserve position is expected to remain broadly stable. Non-resource sector growth remains modest, underscoring the need for structural reform. In the lead-up to mid-2017 elections, the political situation has been more fluid than usual.","January 30, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/30/Papua-New-Guinea-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44596,International Monetary Fund. Asia and Pacific Dept,Country Report No. 17/22,"['Article IV consultation reports', 'Balance of payments statistics', 'Debt sustainability analysis', 'Economic conditions', 'Economic indicators', 'Fiscal policy', 'Fiscal reforms', 'Flexible exchange rate policy', 'Government expenditures', 'Monetary policy', 'Papua New Guinea', 'Press releases', 'Staff Reports']",2859 KB
cr1723,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1723.ashx,"The recovery is strong and imbalances are falling fast, aided by past reforms. External tailwinds and expansionary fiscal policy also buoyed activity and job creation. The economy is now more resilient but adjustments are incomplete and structural weaknesses persist. In particular, high unemployment, elevated public debt and shortcomings in the regional fiscal framework, feeble productivity growth, and the still large negative net international investment position pose policy challenges.","January 30, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/30/Spain-2016-Article-IV-Consultation-Press-Release-Staff-Report-Informational-Annex-Staff-44599,International Monetary Fund. European Dept.,Country Report No. 17/23,"['Article IV consultation reports', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Economic recovery', 'External Sector Report', 'Fiscal policy', 'Fiscal reforms', 'Labor market reforms', 'Labor markets', 'Press releases', 'Spain', 'Staff Reports', 'Unemployment']",1857 KB
cr1719,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1719.ashx,"Following an extended impasse, Lebanon has a new president and a new prime minister, paving the way for a number of political changes. When formed, the new government will face a challenging policy environment. The Syrian crisis continues to dominate Lebanon’s economic outlook, and the associated influx of refugees (about a quarter of the population) has few, if any, international parallels. GDP growth is still subdued and Lebanon’s debt burden is rising, despite modest primary surpluses. Moreover, the economy remains vulnerable to shifts in deposit inflows, which have slowed notably since last year’s Article IV consultation. Most recently, the Banque du Liban (BdL) engaged in a sizable financial operation that has (among other objectives) helped restore international reserves.","January 24, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/24/Lebanon-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44572,International Monetary Fund. Middle East and Central Asia Dept.,Country Report No. 17/19,"['Article IV consultation reports', 'Balance of payments statistics', 'Current account deficits', 'Debt sustainability analysis', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Fiscal consolidation', 'Fiscal policy', 'Fiscal risk', 'Lebanon', 'Monetary policy', 'Press releases', 'Public debt', 'Staff Reports']",2185 KB
cr1715,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=2,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1715.ashx,"With large financial buffers, low debt, and a well-capitalized financial sector, the country is well positioned to face “lower-for-longer” oil prices. Nonetheless, fiscal and external balances have weakened and nonoil growth has softened somewhat. The main policy priorities are to sustain reforms to gradually raise fiscal savings, reduce susceptibility to oil price cycles, and boost private sector growth and job creation.","January 17, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/17/Kuwait-2016-Article-IV-Consultation-Press-Release-and-Staff-Report-44532,International Monetary Fund. Middle East and Central Asia Dept.,Country Report No. 17/15,"['Article IV consultations', 'Banking sector', 'Currency pegs', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal reforms', 'Kuwait', 'Labor market reforms', 'Nonoil sector', 'Oil prices', 'Press releases', 'Private sector', 'Staff Reports']",1708 KB
cr1709,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=3,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1709.ashx,"Effectively addressing low productivity growth and risks to competitiveness requires a three-pronged approach: (i) making growth promotion more effective through oversight of programs by a dedicated productivity unit in the Prime Ministry, better calibrating programs to company’s needs, incentivizing take-up, and scaling-up selected programs; (ii) re-anchoring wage developments in fundamentals by moderating government and minimum wage policies and mobilizing additional labor resources for the private sector, including through faster reduction of government employment; and (iii) social security contribution cuts to provide relief from pressures on profitability.","January 13, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/13/Republic-of-Estonia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-44524,International Monetary Fund. European Dept.,Country Report No. 17/9,"['Article IV consultation reports', 'Balance of payments statistics', 'Banks', 'Economic conditions', 'Economic growth', 'Economic indicators', 'Estonia', 'Financial sector', 'Fiscal policy', 'Global competitiveness', 'Press releases', 'Social indicators', 'Staff Reports', 'Wage increases']",1265 KB
cr1711,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=3,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1711.ashx,The vibrant Hong Kong SAR economy has been supported by low interest rates and mainland China’s economic development over the past decade. But the external outlook is now more challenging. Long-term issues such as aging and a housing supply shortage also loom. Strong policy frameworks and ample buffers are in place to weather a less favorable environment. Prudent fiscal policy and intensive supervision of the financial system have built buffers that can be drawn on when needed.,"January 12, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/12/People-s-Republic-of-China-Hong-Kong-Special-Administrative-Region-2016-Article-IV-44527,International Monetary Fund. Asia and Pacific Dept,Country Report No. 17/11,"['Article IV consultation reports', 'Balance of payments statistics', 'China', 'Debt sustainability analysis', 'Economic indicators', 'External Sector Report', 'Financial sector', 'Fiscal policy', 'Hong Kong SAR', 'Housing', 'Housing prices', 'Press releases', 'Staff Reports']",3712 KB
cr1701,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=3,http://www.imf.org/~/media/Files/Publications/CR/2017/cr1701.ashx,"Implementation of the “Plan Sénégal Emergent” (PSE) is beginning to pay dividends, contributing to projected growth of over 6 percent for the second year in a row. However, for growth to be sustained, further reforms are needed to improve the business environment and create economic space for private domestic and foreign investment. The challenge of meeting infrastructure development objectives without undermining debt sustainability will require continuing efforts to improve the quality of investment while pursuing a prudent debt strategy that keeps the cost of borrowing at reasonable rates. Failure to strengthen debt management and master treasury operations may jeopardize the rating of low risk of debt distress.","January 4, 2017",http://www.imf.org/en/Publications/CR/Issues/2017/01/10/Senegal-Staff-Report-for-the-Article-IV-Consultation-and-Third-Review-Under-the-Policy-44505,International Monetary Fund. African Dept.,Country Report No. 17/1,"['Article IV consultation reports', 'Banking sector', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Financial stability', 'Fiscal policy', 'Global competitiveness', 'Letters of Intent', 'Policy Support Instrument', 'Press releases', 'Private sector', 'Senegal', 'Staff reports']",1987 KB
_cr16390,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=3,http://www.imf.org/~/media/Websites/IMF/imported-full-text-pdf/external/pubs/ft/scr/2016/_cr16390.ashx,"This 2016 Article IV Consultation highlights a rebound in economic activity in Burkina Faso beginning in 2016, after two years of weak growth. The January terrorist attacks and delays in approving the budget weighed on activity in the early part of 2016, but activity has rebounded, and real GDP growth is now projected at 5.4 percent, an improvement over 4.0 percent in 2015. The recovery is led by two new gold mines that came onstream and a sharp projected rebound in agricultural output in late 2016 and early 2017, after three disappointing years. The recovery is expected to consolidate in 2017, and growth is projected to rise to 6.1 percent as domestic and external conditions remain supportive.","December 22, 2016",http://www.imf.org/en/Publications/CR/Issues/2016/12/31/Burkina-Faso-2016-Article-IV-Consultation-Sixth-Review-Under-the-Extended-Credit-Facility-44485,International Monetary Fund. African Dept.,Country Report No. 16/390,"['Article IV consultations', 'Burkina Faso', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Energy sector', 'Extended Credit Facility', 'Fiscal policy', 'Fiscal reforms', 'Government expenditures', 'Infrastructure', 'Letters of Intent', 'Press releases', 'Public investment', 'Revenue mobilization', 'Staff Reports']",2302 KB
_cr16387,http://www.imf.org/en/Publications/Search?title=Article+IV&when=After&year=2000&page=3,http://www.imf.org/~/media/Websites/IMF/imported-full-text-pdf/external/pubs/ft/scr/2016/_cr16387.ashx,"Bolivia’s macroeconomic management of the commodity boom facilitated a decade of strong macroeconomic performance and poverty reduction, and the accumulation of sizable policy buffers. As Bolivia remains one of the most commodity-dependent countries in the region, however, sharply lower commodity prices pose serious challenges to making further progress towards the objectives laid out in the authorities’ Patriotic Agenda 2025, including eradication of extreme poverty, better access to health and education, and state-led industrialization. As the authorities implement their 5-year development plan (Plan de Desarrollo Económico y Social 2016–20), sizable fiscal and external current account surpluses during the last decade have turned into large deficits. These deficits are projected to persist over the medium term under current policies, eroding policy buffers and raising questions about the sustainability of the plan.","December 22, 2016",http://www.imf.org/en/Publications/CR/Issues/2016/12/31/Bolivia-2016-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-44479,International Monetary Fund. Western Hemisphere Dept.,Country Report No. 16/387,"['Article IV consultations', 'Banking sector', 'Bolivia', 'Commodity price fluctuations', 'Debt sustainability analysis', 'Economic growth', 'Economic indicators', 'Fiscal policy', 'Flexible exchange rate policy', 'Hydrocarbons', 'Monetary policy', 'Press releases', 'Staff Reports', 'Stress testing']",2397 KB
